type,id,name,department,group,preferred_times,num_students,capacity,available_times
course,CS101,,CS,GroupA,"8,9",45,,
course,CS102,,CS,GroupA,"10,11",40,,
course,CS201,,CS,GroupB,"9,14",50,,
course,CS202,,CS,GroupB,"11,13",38,,
course,CS301,,CS,GroupC,"12,14",30,,
course,CS302,,CS,GroupC,"8,15",28,,
course,CS401,,CS,GroupD,"10,12",35,,
course,CS402,,CS,GroupD,"14,16",25,,
course,MA202,,Math,GroupE,"9,11",35,,
course,MA203,,Math,GroupE,"13,14",28,,
course,MA301,,Math,GroupF,"9,15",25,,
course,MA302,,Math,GroupF,"10,12",40,,
course,MA401,,Math,GroupG,"8,14",30,,
course,MA402,,Math,GroupG,"12,15",32,,
course,PH303,,Physics,GroupH,"10,12,14",20,,
course,PH304,,Physics,GroupH,"8,10,14",15,,
course,PH401,,Physics,GroupI,"12,14,16",10,,
course,PH402,,Physics,GroupI,"14,15",10,,
course,PH501,,Physics,GroupJ,"9,13",22,,
course,PH502,,Physics,GroupJ,"11,15",18,,
teacher,,Dr. X,CS,,,"",,"8,9,10,11,12,13,14,15"
teacher,,Dr. Y,Math,,,"",,"9,10,11,12,13,14,15,16"
teacher,,Dr. Z,Physics,,,"",,"8,9,10,11,12,14,15,16"
teacher,,Dr. W,Physics,,,"",,"8,9,10,12,14,15,16"
room,Room101,,,,"",,50,
room,Room102,,,,"",,40,
room,Lab201,,,,"",,30,
room,Lab202,,,,"",,20,
room,HallA,,,,"",,60,
room,HallB,,,,"",,55,
time_slot,8,,,,"",,,
time_slot,9,,,,"",,,
time_slot,10,,,,"",,,
time_slot,11,,,,"",,,
time_slot,12,,,,"",,,
time_slot,13,,,,"",,,
time_slot,14,,,,"",,,
time_slot,15,,,,"",,,
time_slot,16,,,,"",,,